a.country,a.positive_response
NULL,6348
,6
ARGENTINA,49
AUSTRALIA,47
AUSTRIA,4
BELGIUM,3
BOLIVIA,10
BOSNIA AND HERZEGOWINA,7
BRAZIL,163
BULGARIA,1
CANADA,1162
CHILE,113
CHINA,80
COLOMBIA,26
CZECH REPUBLIC,2
DENMARK,1
ECUADOR,1613
EGYPT,14
FINLAND,9
FRANCE,53
GERMANY,34
GREECE,71
GREENLAND,93
GUAM,4
GUYANA,2
HONG KONG,25
HUNGARY,3
INDIA,37
INDONESIA,60
IRAN (ISLAMIC REPUBLIC OF),2
IRAQ,25
IRELAND,31
ISRAEL,3
ITALY,19
JAPAN,8
KAZAKHSTAN,3
KENYA,5
KOREA (S),2
KUWAIT,24
LATVIA,2
LITHUANIA,3
MALAYSIA,49
MEXICO,112
MOROCCO,109
NETHERLANDS,210
NEW ZEALAND,22
NIGERIA,15
PAKISTAN,10
PERU,12
POLAND,2
PORTUGAL,8
ROMANIA,4
RUSSIAN FEDERATION,21
SAUDI ARABIA,14
SINGAPORE,61
SLOVAKIA,4
SOUTH AFRICA,21
SPAIN,40
SWEDEN,11
TAIWAN,5
THAILAND,118
TONGA,2
TURKEY,3
UKRAINE,7
UNITED ARAB EMIRATES,84
UNITED KINGDOM,510
UNITED STATES,12870
VENEZUELA,110
VIET NAM,1
ZIMBABWE,2
